TIME,OPEN,HIGH ,LOW ,CLOSE
2019.09.18 18:52,1.10625,1.10629,1.10624,1.10629
2019.09.18 18:53,1.10629,1.10629,1.10624,1.10624
2019.09.18 18:54,1.10624,1.10638,1.10623,1.10638
2019.09.18 18:55,1.10638,1.10642,1.10635,1.10641
2019.09.18 18:56,1.10641,1.10641,1.10628,1.10632
2019.09.18 18:57,1.10634,1.10639,1.10632,1.10632
2019.09.18 18:58,1.10632,1.10633,1.10615,1.10615
2019.09.18 18:59,1.10615,1.10617,1.10609,1.10609
2019.09.18 19:00,1.10609,1.10612,1.106,1.10609
2019.09.18 19:01,1.10606,1.10609,1.10602,1.10607
2019.09.18 19:02,1.10607,1.10623,1.10607,1.10619
2019.09.18 19:03,1.10619,1.10623,1.1061,1.10611
2019.09.18 19:04,1.10611,1.10613,1.10611,1.10612
2019.09.18 19:05,1.10613,1.10621,1.10612,1.10619
2019.09.18 19:06,1.1062,1.10626,1.10614,1.1062
2019.09.18 19:07,1.1062,1.10622,1.10615,1.10621
2019.09.18 19:08,1.10621,1.10627,1.10619,1.10622
2019.09.18 19:09,1.10622,1.10627,1.10619,1.10623
2019.09.18 19:10,1.10624,1.10639,1.10617,1.10617
2019.09.18 19:11,1.10617,1.10629,1.10617,1.10629
2019.09.18 19:12,1.10629,1.10635,1.10629,1.10633
2019.09.18 19:13,1.10633,1.10636,1.10631,1.10631
2019.09.18 19:14,1.10632,1.10633,1.10622,1.10633
2019.09.18 19:15,1.10632,1.10637,1.10629,1.10632
2019.09.18 19:16,1.10632,1.10638,1.10629,1.10638
2019.09.18 19:17,1.10638,1.10647,1.10638,1.10641
2019.09.18 19:18,1.10641,1.10642,1.10636,1.10641
2019.09.18 19:19,1.10641,1.10656,1.10641,1.10654
2019.09.18 19:20,1.10654,1.10666,1.10649,1.10662
2019.09.18 19:21,1.10665,1.10666,1.10655,1.1066
2019.09.18 19:22,1.10658,1.10658,1.10644,1.10648
2019.09.18 19:23,1.10648,1.10649,1.10641,1.10646
2019.09.18 19:24,1.10646,1.10656,1.10646,1.10648
2019.09.18 19:25,1.10648,1.10674,1.10647,1.10673
2019.09.18 19:26,1.10673,1.10677,1.1067,1.10673
2019.09.18 19:27,1.10675,1.10675,1.10669,1.10672
2019.09.18 19:28,1.10672,1.10673,1.10669,1.1067
2019.09.18 19:29,1.1067,1.10675,1.10669,1.10671
2019.09.18 19:30,1.10672,1.1068,1.10672,1.10677
2019.09.18 19:31,1.10677,1.10683,1.10656,1.10656
2019.09.18 19:32,1.10655,1.10658,1.10647,1.10649
2019.09.18 19:33,1.10649,1.10664,1.10647,1.10664
2019.09.18 19:34,1.10664,1.10669,1.1066,1.10663
2019.09.18 19:35,1.10663,1.10663,1.10658,1.10659
2019.09.18 19:36,1.10659,1.10659,1.10654,1.10658
2019.09.18 19:37,1.10658,1.10664,1.10653,1.10663
2019.09.18 19:38,1.10663,1.10663,1.10649,1.10653
2019.09.18 19:39,1.10653,1.10653,1.10643,1.10643
2019.09.18 19:40,1.10643,1.10646,1.10638,1.10645
2019.09.18 19:41,1.10645,1.10647,1.10639,1.10642
2019.09.18 19:42,1.10642,1.10643,1.10639,1.1064
2019.09.18 19:43,1.1064,1.1064,1.10627,1.10636
2019.09.18 19:44,1.10636,1.10642,1.10635,1.10639
2019.09.18 19:45,1.10639,1.10642,1.10632,1.10633
2019.09.18 19:46,1.10634,1.1065,1.10633,1.10649
2019.09.18 19:47,1.10649,1.10651,1.10639,1.10643
2019.09.18 19:48,1.10643,1.10643,1.10627,1.10627
2019.09.18 19:49,1.10627,1.10634,1.10624,1.10632
2019.09.18 19:50,1.10632,1.10645,1.10632,1.10636
2019.09.18 19:51,1.10636,1.10637,1.10618,1.10622
2019.09.18 19:52,1.10622,1.10623,1.10617,1.1062
2019.09.18 19:53,1.1062,1.10621,1.10614,1.10619
2019.09.18 19:54,1.10619,1.10624,1.10611,1.10624
2019.09.18 19:55,1.10624,1.10629,1.10621,1.10624
2019.09.18 19:56,1.10624,1.10625,1.10613,1.10623
2019.09.18 19:57,1.10623,1.10633,1.10623,1.10632
2019.09.18 19:58,1.10632,1.10636,1.1063,1.10635
2019.09.18 19:59,1.10634,1.10636,1.10629,1.10632
2019.09.18 20:00,1.10632,1.10634,1.10629,1.10633
2019.09.18 20:01,1.10633,1.10643,1.10633,1.10643
2019.09.18 20:02,1.10643,1.10646,1.10634,1.10639
2019.09.18 20:03,1.10639,1.10639,1.10629,1.10629
2019.09.18 20:04,1.10629,1.10632,1.10624,1.10625
2019.09.18 20:05,1.10625,1.10633,1.10623,1.1063
2019.09.18 20:06,1.1063,1.10633,1.10623,1.10627
2019.09.18 20:07,1.10627,1.10627,1.10617,1.10619
2019.09.18 20:08,1.10619,1.10625,1.10617,1.10622
2019.09.18 20:09,1.10622,1.10626,1.1062,1.10623
2019.09.18 20:10,1.10623,1.10624,1.10621,1.10623
2019.09.18 20:11,1.10623,1.1063,1.10622,1.10624
2019.09.18 20:12,1.10624,1.10629,1.10621,1.10629
2019.09.18 20:13,1.10629,1.10639,1.10629,1.10639
2019.09.18 20:14,1.10639,1.10639,1.10632,1.10633
2019.09.18 20:15,1.10633,1.10639,1.10633,1.10639
2019.09.18 20:16,1.10639,1.10645,1.10635,1.10636
